timestamp,asset_id,depot,shift,asset_age_months,vibration_g,temperature_c,pressure_psi,acoustic_db,motor_current_a,error_events
2026-01-02 18:00:00,PUMP-001,North,Night,15,1.6593,65.4146,127.1444,71.8247,35.5118,0
2026-01-03 00:00:00,PUMP-001,North,Day,15,1.3104,62.2114,121.2739,71.1435,36.1994,0
2026-01-03 06:00:00,PUMP-001,North,Night,15,1.7426,63.8025,126.2283,68.4776,35.4917,0
2026-01-03 12:00:00,PUMP-001,North,Day,15,1.4555,64.2738,126.3146,71.027,36.9315,0
2026-01-03 18:00:00,PUMP-001,North,Night,15,1.3263,61.7546,119.8222,67.7063,36.5597,1
2026-01-04 00:00:00,PUMP-001,North,Night,15,1.7628,62.6788,123.8444,67.8149,35.5254,0
2026-01-03 18:00:00,PUMP-002,South,Day,8,1.9224,67.376,118.0175,71.8531,36.9484,0
2026-01-04 00:00:00,PUMP-002,South,Day,8,1.941,64.2287,116.9324,68.7634,36.7596,1
2026-01-04 06:00:00,PUMP-002,South,Night,8,2.0324,70.1102,115.0672,73.3856,36.2098,0
2026-01-04 12:00:00,PUMP-002,South,Night,8,1.985,68.3262,118.3822,72.6041,35.0979,0
2026-01-04 18:00:00,PUMP-002,South,Night,8,2.2728,65.5697,119.3167,67.4364,35.679,1
2026-01-05 00:00:00,PUMP-002,South,Day,8,2.4283,64.5451,125.1926,70.5606,35.7883,0
2026-01-04 18:00:00,PUMP-003,East,Day,90,1.3977,63.2862,118.1566,71.1452,36.1432,0
2026-01-05 00:00:00,PUMP-003,East,Day,90,1.8546,70.2194,117.0982,71.3411,35.31,0
2026-01-05 06:00:00,PUMP-003,East,Night,90,1.4755,68.2843,116.7613,70.8733,35.5674,0
2026-01-05 12:00:00,PUMP-003,East,Day,90,1.7415,64.7232,114.5472,66.7641,33.2312,0
2026-01-05 18:00:00,PUMP-003,East,Day,90,1.6398,65.1728,108.0174,67.8952,36.5702,0
2026-01-06 00:00:00,PUMP-003,East,Night,90,1.92,66.5828,115.436,68.9237,35.1189,1
2026-01-05 18:00:00,PUMP-004,West,Day,71,1.9454,57.7937,108.3677,68.0658,36.3821,0
2026-01-06 00:00:00,PUMP-004,West,Day,71,2.0073,58.4342,115.01,70.32,35.8658,0
2026-01-06 06:00:00,PUMP-004,West,Day,71,1.9216,54.8677,111.4853,70.462,35.4771,0
2026-01-06 12:00:00,PUMP-004,West,Day,71,2.1993,58.2619,109.8942,67.9219,35.8939,0
2026-01-06 18:00:00,PUMP-004,West,Day,71,1.8576,55.26,112.1206,72.7104,36.2789,1
2026-01-07 00:00:00,PUMP-004,West,Day,71,1.9892,57.2528,120.7336,68.0558,37.2027,0
2026-01-06 18:00:00,PUMP-005,North,Night,28,2.5802,62.4856,116.4533,69.2685,36.6576,0
2026-01-07 00:00:00,PUMP-005,North,Night,28,2.2233,61.1485,123.7625,70.3932,35.8417,0
2026-01-07 06:00:00,PUMP-005,North,Night,28,2.1781,60.2637,118.8629,66.8798,33.8405,0
2026-01-07 12:00:00,PUMP-005,North,Night,28,2.2914,59.6079,118.2674,67.1841,35.3537,0
2026-01-07 18:00:00,PUMP-005,North,Night,28,2.2063,63.8699,117.497,68.4057,35.7567,0
2026-01-08 00:00:00,PUMP-005,North,Day,28,1.8274,58.0712,117.0227,69.6199,35.2073,0
2026-01-07 18:00:00,PUMP-006,South,Day,86,1.9249,65.9288,129.4178,66.4112,35.9078,1
2026-01-08 00:00:00,PUMP-006,South,Night,86,1.9035,68.3323,126.6188,67.9467,35.6389,0
2026-01-08 06:00:00,PUMP-006,South,Day,86,1.9175,63.9559,120.4942,70.9768,34.8586,0
2026-01-08 12:00:00,PUMP-006,South,Day,86,1.6212,69.8331,127.7054,69.0357,34.6925,1
2026-01-08 18:00:00,PUMP-006,South,Day,86,2.0721,66.098,122.6837,69.0195,32.3262,1
2026-01-09 00:00:00,PUMP-006,South,Day,86,2.0844,68.2962,130.9471,69.8787,37.4195,0
2026-01-08 18:00:00,PUMP-007,East,Day,33,0.9901,62.0297,126.9065,69.2779,34.6473,0
2026-01-09 00:00:00,PUMP-007,East,Day,33,1.409,57.8807,126.8421,69.8773,37.2097,1
2026-01-09 06:00:00,PUMP-007,East,Night,33,1.2065,60.1384,126.8421,66.2263,36.9864,0
2026-01-09 12:00:00,PUMP-007,East,Night,33,1.2861,62.3243,120.5912,72.4483,35.7687,0
